1. Fatura Tarihi,2. Son Endeks Zaman
31-12-2023,31-12-2023
29-02-2024,"29-02-2024, 38.972,267, 21.007,516, 10.362,494, 7.602,257, 3.799,356, 152,836"
30-06-2023,30-06-2023
31-03-2024,"31-03-2024, 44.025,999, 23.783,102, 11.688,711, 8.554,186, 4.350,387, 173,634"
31-01-2024,31-01-2024
31-05-2023,31-05-2023
29-02-2024,"29-02-2024, 59.083,471 (TÃ¼m Zaman)"
31-05-2024,31-05-2024
31-08-2023,31-08-2023
31-08-2023,31-08-2023
31-05-2023,31-05-2023
31-05-2024,31-05-2024
31-01-2024,31-01-2024
30-11-2023,30-11-2023
30-06-2023,30-06-2023
31-07-2023,31-07-2023
30-09-2023,30-09-2023
30-06-2023,30-06-2023
31-10-2023,31-10-2023
31-10-2023,31-10-2023
30-11-2023,30-11-2023
31-12-2023,"31.659,931"
31-12-2023,31-12-2023
31-07-2023,31-07-2023
30-09-2023,30-09-2023
31-05-2023,31-05-2023
30-11-2023,30-11-2023
31-10-2023,31-10-2023
29-02-2024,29-02-2024
29-02-2024,29-02-2024
31-01-2024,"31-01-2024,41.837,373,21.922,739,11.063,265,8.851,369,3.791,761,1.598,999"
31-03-2024,31-03-2024
31-05-2024,31-05-2024
30-06-2024,30-06-2024
30-06-2024,30-06-2024
30-04-2024,30-04-2024
